orig,stand
selfconsciousness,self consciousness
fucceeded,succeeded
cobbold,cobbled
authoritie,authority
eggshaped,egg shaped
herodot,herodotus
wyfe,wife
pleaseth,pleases
fynde,find
comyn,common
für,far
intire,entire
sweetscented,sweet scented
vertuous,virtuous
iesus,jesus
wherin,wherein
ioy,joy
cann,can
parlement,parliament
steuart,stuart
ryght,right
begg,beg
seynt,saint
halflength,half length
swedn,sweden
farreaching,far reaching
fairlie,fairly
mariage,marriage
ogilvy,ogilvie
dissertatio,dissertation
directorgeneral,director general
anfwered,answered
clere,clear
sonn,son
mothercountry,mother country
doughter,daughter
shepheard,shepherd
symon,simon
thyng,thing
poyntz,points
oeconomy,economy
warranto,warrant
produćt,product
halfdozen,half dozen
hydepark,hyde park
shewe,show
graunted,granted
ludgatehill,ludgate hill
tenantright,tenant right
maiestie,majesty
vho,who
byles,biles
highnes,highness
tortoiseshell,tortoise shell
wellgrown,well grown
vve,we
seint,saint
mornin,morning
bruxelles,brussels
therin,therein
burialplace,burial place
timehonoured,time honoured
aflidavit,affidavit
allpowerful,all powerful
sheflield,sheffield
encreased,increased
leycester,leicester
direétion,direction
comin,coming
selfpreservation,self preservation
mahommed,mohammed
sabbathday,sabbath day
heirapparent,heir apparent
scotish,scottish
sholde,should
lyttleton,littleton
mahommedan,mohammedan
watertube,water tube
twentyone,twenty one
wynter,winter
glocester,gloucester
quartermastergeneral,quartermaster general
mannor,manor
groundrent,ground rent
foxhunting,fox hunting
shold,should
distrićt,district
wellfounded,well founded
twentyseventh,twenty seventh
iust,just
shipp,ship
secondrate,second rate
windebank,windbank
threadneedle,thread needle
beyng,being
waterlow,waterloo
cittie,city
capricorni,capricorn
poynter,pointer
werke,work
ačtually,actually
onlybegotten,only begotten
theis,these
yett,yet
inferiour,inferior
spratt,sprat
aiid,aid
raigne,reign
chamberlayne,chamberlain
wellformed,well formed
perfeótly,perfectly
falshood,falsehood
wellwritten,well written
stopt,stopped
falleth,falls
oflicers,officers
historique,historic
lordmayor,lord mayor
holdeth,holds
wyld,wild
useth,uses
waterwheel,water wheel
oétober,october
truely,truly
fupported,supported
destrućtion,destruction
peece,piece
iustice,justice
iudgement,judgement
chappel,chapel
whanne,when
thys,this
buonaparté,bonapart
thompsn,thompson
surprizing,surprising
expresly,expressly
politick,politic
perswaded,persuaded
lyte,light
maskelyne,masculine
smale,small
façade,facade
dayly,daily
introdućtion,introduction
surveyorgeneral,surveyor general
seruice,service
byelaws,bylaws
difierence,difference
dauid,david
mémoires,memoirs
broadleaved,broad leaved
diuine,divine
palaeontology,paleontology
halfcrown,half crown
preferved,preserved
occafioned,occasioned
cloathing,clothing
foorth,forth
auncient,ancient
waterpower,water power
drily,dryly
groweth,grows
witte,wit
antiently,anciently
saue,save
authour,author
seeketh,seeks
sharppointed,sharp pointed
leicestersquare,leicester square
orangecoloured,orange coloured
furth,forth
peple,people
whoe,who
streight,straight
fignifies,signifies
proue,prove
chiefjustice,chief justice
bastile,bastille
pryor,prior
nyght,night
deftroyed,destroyed
hefore,before
rejećted,rejected
wellestablished,well established
gairdner,gardener
agaynst,against
produćtion,production
greatgrandson,great grandson
readymade,ready made
diocess,diocese
neverfailing,never failing
sealingwax,sealing wax
selfreliance,self reliance
sokrates,socrates
theresore,therefore
imployed,employed
everincreasing,ever increasing
eflicient,efficient
walketh,walks
greatgrandfather,great grandfather
kalendar,calendar
horsman,horseman
wellmade,well made
receiued,received
receivergeneral,receiver general
perfeótion,perfection
sultaun,sultan
safetyvalve,safety valve
finegrained,fine grained
foursided,four sided
synge,sing
portugueze,portuguese
burntoffering,burnt offering
comique,comic
opake,opaque
hayle,hail
