orig,stand
boardingschool,boarding school
pockethandkerchief,pocket handkerchief
sohosquare,soho square
sixsided,six sided
thcfe,these
yorkstreet,york street
caraccas,caracas
muoh,much
greenishyellow,greenish yellow
henrv,henry
lieutgovernor,lieutenant governor
englifli,english
ttie,the
gieat,great
quekett,quakes
ihey,they
ireand,ireland
incl,include
councel,counsel
alledge,allege
ustice,justice
graece,grace
hapsburg,hapsburg
sativa,sativa
aboot,about
afked,asked
mastergeneral,mastergeneral
playne,plane
onequarter,one quarter
wayte,waste
ossible,possible
tively,timely
dusseldorf,dusseldorf
repl, 
lreland,ireland
seahorse,seehorse
weardale, 
deadweight,deadweight
anatolia,anatolia
exačt,exact
